iter	Passed	Remaining
401	895	1332
402	897	1330
403	899	1327
404	902	1325
405	904	1323
406	906	1320
407	909	1319
408	911	1316
409	913	1314
410	915	1312
411	917	1309
412	919	1307
413	922	1305
414	924	1302
415	926	1300
416	928	1298
417	930	1295
418	932	1293
419	935	1291
420	937	1289
421	939	1286
422	941	1283
423	943	1281
424	945	1279
425	947	1276
426	949	1274
427	952	1273
428	954	1270
429	957	1268
430	959	1266
431	961	1264
432	963	1261
433	964	1258
434	967	1256
435	969	1254
436	971	1251
437	973	1249
438	975	1247
439	977	1244
440	979	1242
441	982	1240
442	984	1237
443	986	1235
444	989	1233
445	991	1231
446	992	1228
447	995	1226
448	997	1224
449	999	1221
450	1002	1219
451	1004	1217
452	1005	1214
453	1007	1211
